,身份证号,姓名,生日,性别,家庭住址
1884,'230708200003265740 ,刘桂香,2000-03-26,女,北京市磊县东丽苏路N座 572041
1885,'411627200203265268 ,刘健,2002-03-26,女,青海省玉华县城东李路F座 339020
1886,'341323199303285359 ,郑欣,1993-03-28,男,吉林省太原县长寿永安街Q座 923887
1887,'469022199303285510 ,王涛,1993-03-28,男,宁夏回族自治区建华县南溪兴城路V座 869683
1888,'130435200203260425 ,纪秀荣,2002-03-26,女,广东省澳门县涪城毛街c座 170133
1889,'371322200103266879 ,何丹丹,2001-03-26,男,西藏自治区澳门市怀柔西安街b座 719970
1890,'321002199503288819 ,王慧,1995-03-28,男,澳门特别行政区兴安盟县海港李路a座 629779
1891,'652700199103296310 ,易红霞,1991-03-29,男,河北省岩县安次永安路D座 233153
1892,'41070319920328482X ,阳丹丹,1992-03-28,女,湖南省澳门县兴山通辽路p座 719740
1893,'360983200503259339 ,李洋,2005-03-25,男,北京市宁县沙市哈尔滨路i座 607386
1894,'513333200503255498 ,林志强,2005-03-25,男,云南省马鞍山市新城上海路k座 167946
1895,'210904200003260896 ,辛丹丹,2000-03-26,男,四川省龙县普陀毛街Q座 813374
1896,'410000200703252099 ,姜瑞,2007-03-25,男,陕西省坤县永川辛集街o座 750326
1897,'230401200303262567 ,周畅,2003-03-26,女,黑龙江省玉英县合川上海街T座 151000
1898,'140222200503251220 ,杨秀珍,2005-03-25,女,浙江省重庆市双滦齐齐哈尔路n座 544205
1899,'330802199403288031 ,张龙,1994-03-28,男,四川省淮安市合川杨路I座 375345
1900,'150423199503286005 ,王勇,1995-03-28,女,贵州省玉珍县双滦拉萨路z座 232245
1901,'340403200503256880 ,王冬梅,2005-03-25,女,上海市哈尔滨市普陀佛山路s座 562823
1902,'411282199803278094 ,农萍,1998-03-27,男,湖北省宁德市龙潭张路f座 651605
1903,'430121199903278387 ,马建,1999-03-27,女,黑龙江省拉萨县金平海门路I座 406206
1904,'520327200003266387 ,梁帆,2000-03-26,女,贵州省鹏市花溪梧州路m座 326495
1905,'371725200103265199 ,傅波,2001-03-26,男,山东省嘉禾市友好柴街i座 141178
1906,'340111199203280326 ,戴艳,1992-03-28,女,台湾省拉萨县牧野兰州路Q座 217399
1907,'350525200503254127 ,栗凤英,2005-03-25,女,江苏省秀英市山亭陈路s座 850289
1908,'141125199903273225 ,唐浩,1999-03-27,女,重庆市辽阳县西夏兴城街c座 536569
1909,'371602200203267124 ,李鑫,2002-03-26,女,广东省玉华市沈北新长沙街g座 849512
1910,'220000199803278404 ,舒玉英,1998-03-27,女,广东省婷婷市龙潭汕尾路g座 434831
1911,'511722199703270962 ,阎秀珍,1997-03-27,女,陕西省深圳县丰都齐齐哈尔街D座 653760
1912,'52232319990327237X ,魏超,1999-03-27,男,西藏自治区宁市闵行常路W座 299342
1913,'411302200803246606 ,周涛,2008-03-24,女,台湾省平市黄浦张路G座 322556
1914,'150802199903272745 ,赵雷,1999-03-27,女,四川省阜新市淄川栾街u座 220174
1915,'141030200003263401 ,林桂花,2000-03-26,女,广东省兴安盟市滨城杭州路Z座 401179
1916,'370281200403259738 ,李洁,2004-03-25,男,台湾省合肥市海港巢湖街U座 653589
1917,'360722200303262409 ,冯波,2003-03-26,女,天津市红梅市南湖潜江路M座 597920
1918,'610901199403283632 ,申建华,1994-03-28,男,广东省玲市闵行管街M座 362553
1919,'210204200803247771 ,邵敏,2008-03-24,男,吉林省桂英县魏都兰州路z座 708222
1920,'150627199003296668 ,吴芳,1990-03-29,女,吉林省淮安县南溪合山街i座 311711
1921,'440901199903273180 ,杨玉梅,1999-03-27,女,河北省娜市花溪张路V座 168938
1922,'610222200703259887 ,殷桂香,2007-03-25,女,山西省倩市孝南符街f座 320195
1923,'23122519960327926X ,屈淑英,1996-03-27,女,内蒙古自治区琳县东城哈尔滨街O座 350455
1924,'540221199103295075 ,张雪梅,1991-03-29,男,湖北省刚县龙潭兴城街k座 346155
1925,'420281199103298961 ,邹丹丹,1991-03-29,女,贵州省丹县丰都宁德路d座 283722
1926,'622922200203265588 ,陈凤兰,2002-03-26,女,北京市长沙县双滦柳州路n座 142589
1927,'330727199803279531 ,朱丽,1998-03-27,男,广西壮族自治区志强县吉区佛山路w座 817548
1928,'451100200203261398 ,周秀芳,2002-03-26,男,贵州省潮州县牧野西安路P座 394803
1929,'150703200803243839 ,张秀华,2008-03-24,男,天津市丹市牧野齐齐哈尔路g座 994133
1930,'220582200803242556 ,王萍,2008-03-24,男,福建省深圳县沙市柳州街Y座 424563
1931,'632622199903279067 ,符明,1999-03-27,女,浙江省小红县合川石家庄路c座 491443
1932,'220500200103266835 ,胡建华,2001-03-26,男,辽宁省洁县大兴长沙街Y座 115770
1933,'450521199503286156 ,罗坤,1995-03-28,男,江西省婷婷县东城李路d座 677503
1934,'410728200803242810 ,王英,2008-03-24,男,黑龙江省英市长寿曹路X座 174544
1935,'621026199203281991 ,胡辉,1992-03-28,男,澳门特别行政区六盘水县秀英兴安盟路o座 893120
1936,'431224200603255942 ,曾慧,2006-03-25,女,台湾省澳门市大兴王街B座 647381
1937,'220521199303289536 ,吴阳,1993-03-28,男,澳门特别行政区北京县城北石家庄路z座 405972
1938,'410802199203280537 ,李桂荣,1992-03-28,男,贵州省西安市上街何街u座 768775
1939,'350581199503289157 ,陶强,1995-03-28,男,安徽省浩县新城姚街Q座 419259
1940,'370125200303262992 ,秦淑英,2003-03-26,男,重庆市东莞县上街吴路B座 536477
1941,'150303199803272827 ,龚玉珍,1998-03-27,女,吉林省重庆县城北济南路Z座 350953
1942,'350105199303282251 ,李洋,1993-03-28,男,浙江省辉县华龙西安路d座 233517
1943,'410324199503286296 ,唐伟,1995-03-28,男,香港特别行政区通辽市南湖潮州路x座 845515
1944,'230903200703250709 ,黄丽,2007-03-25,女,湖南省平县西夏何路F座 626115
1945,'513232199403281878 ,马楠,1994-03-28,男,吉林省齐齐哈尔市梁平海口街I座 606950
1946,'152200200603258054 ,孙淑兰,2006-03-25,男,河南省欣市和平李路Y座 926879
1947,'513428200603252862 ,张玉兰,2006-03-25,女,福建省波市清城胡路H座 425550
1948,'361002200503254208 ,陈辉,2005-03-25,女,宁夏回族自治区沈阳市金平王路X座 896111
1949,'21100119920328331X ,徐鹏,1992-03-28,男,甘肃省西安县浔阳杨街E座 262600
1950,'533324199103295652 ,张芳,1991-03-29,男,辽宁省广州市翔安包路A座 143495
1951,'431221200803247198 ,陈云,2008-03-24,男,陕西省霞县吉区李路b座 875711
1952,'13102220020326145X ,刘红霞,2002-03-26,男,上海市淮安市南长惠州街p座 476698
1953,'620722200703257653 ,高宁,2007-03-25,男,广西壮族自治区台北市门头沟梁路o座 702660
1954,'360723199003296632 ,郭彬,1990-03-29,男,宁夏回族自治区巢湖市清城沈阳路c座 481354
1955,'421301200703258429 ,高桂珍,2007-03-25,女,上海市梅市沈北新沈阳街R座 583866
1956,'53050219960327302X ,王桂芝,1996-03-27,女,安徽省石家庄市沈北新李路j座 839712
1957,'130926199503281450 ,苏斌,1995-03-28,男,黑龙江省重庆市南溪福州路u座 218539
1958,'140301200403250507 ,陈霞,2004-03-25,女,吉林省桂芳县平山南昌路t座 871052
1959,'530600200503257741 ,刘玉兰,2005-03-25,女,云南省嘉禾县大东香港街N座 714344
1960,'411200200603258700 ,祝桂芝,2006-03-25,女,西藏自治区建国市西夏陈街v座 169790
1961,'350502199203282003 ,张志强,1992-03-28,女,甘肃省利县徐汇阎街P座 765958
1962,'371525200303269476 ,欧阳芳,2003-03-26,男,重庆市春梅市牧野成街x座 545495
1963,'150622200703258236 ,赖小红,2007-03-25,男,云南省海口县花溪杨路x座 497996
1964,'621228199003291849 ,张红梅,1990-03-29,女,甘肃省邯郸县静安王街e座 373803
1965,'340223199803271360 ,刘秀荣,1998-03-27,女,浙江省红市秀英汪路d座 324751
1966,'420607200703250420 ,管建,2007-03-25,女,吉林省慧县合川合山街L座 283125
1967,'320684200303267679 ,陆琴,2003-03-26,男,山西省嘉禾市南湖李街n座 983586
1968,'620422199503289747 ,向林,1995-03-28,女,四川省拉萨县魏都巢湖路q座 629482
1969,'52262320030326946X ,张阳,2003-03-26,女,陕西省红梅县大东胡路C座 813504
1970,'62050120000326135X ,周刚,2000-03-26,男,黑龙江省成都市双滦吴街f座 477384
1971,'420625200103264872 ,张东,2001-03-26,男,浙江省嘉禾县友好济南街C座 893214
1972,'420304199803277427 ,鲁荣,1998-03-27,女,四川省云县龙潭朱街a座 508927
1973,'632524200703252436 ,马丽华,2007-03-25,男,云南省建平市西夏淮安路Y座 697648
1974,'532323200803243739 ,陈文,2008-03-24,男,澳门特别行政区桂香市华龙赵路g座 731720
1975,'510113199303283879 ,吴海燕,1993-03-28,男,山东省合山县花溪巩路y座 745111
1976,'140431200203267156 ,谢琴,2002-03-26,男,贵州省娟市白云北京街a座 842450
1977,'620822199003297371 ,王桂珍,1990-03-29,男,黑龙江省杭州市涪城合肥路S座 948243
1978,'230501199503282431 ,赵秀英,1995-03-28,男,湖北省瑞市南湖邵路u座 702695
1979,'130322200603252451 ,郑杨,2006-03-25,男,湖南省北京市徐汇刘街F座 438623
1980,'350100199103292285 ,田辉,1991-03-29,女,宁夏回族自治区武汉市双滦阜新路V座 188702
1981,'220421199003298726 ,马畅,1990-03-29,女,澳门特别行政区磊市高明黄路l座 196706
1982,'511502199003297754 ,王斌,1990-03-29,男,广东省杭州县东城谢街C座 804650
1983,'150825199303285942 ,王东,1993-03-28,女,浙江省西宁县吉区海门路Y座 879439
1984,'420529199703271771 ,王峰,1997-03-27,男,河北省佛山市沙湾张家港路f座 265814
1985,'51060020030326429X ,贺建军,2003-03-26,男,上海市北镇市六枝特太原街v座 605817
1986,'320804199403282888 ,孙凤英,1994-03-28,女,河南省建平市友好重庆街U座 861008
1987,'330522200603256231 ,冯柳,2006-03-25,男,云南省凤英市滨城关岭路U座 865781
1988,'410601199403282214 ,卞伟,1994-03-28,男,香港特别行政区太原市大兴宁德路K座 600875
1989,'640201200303262319 ,宋想,2003-03-26,男,江苏省鑫县合川尤路d座 132868
1990,'340501199303285764 ,张洋,1993-03-28,女,香港特别行政区丽丽市蓟州深圳街E座 983100
1991,'371728199603275098 ,冯小红,1996-03-27,男,河南省静县西夏李街V座 247118
1992,'230604199603270061 ,王柳,1996-03-27,女,安徽省秀英县龙潭徐路c座 127520
1993,'21092120070325141X ,庄桂英,2007-03-25,男,香港特别行政区亮县龙潭辛集街X座 526575
1994,'230902200603257421 ,余建平,2006-03-25,女,吉林省六安市六枝特张街M座 340709
1995,'532524200703254745 ,崔海燕,2007-03-25,女,山东省海门市龙潭南宁街H座 357924
1996,'130102200703258723 ,黄坤,2007-03-25,女,福建省鹏县萧山阜新路l座 865073
1997,'530300200703256114 ,常桂芝,2007-03-25,男,台湾省岩市西峰乌鲁木齐街f座 624153
1998,'220721199003294502 ,王鑫,1990-03-29,女,天津市惠州县怀柔袁街k座 703462
1999,'230204199203289167 ,曹淑华,1992-03-28,女,陕西省海口县高明哈尔滨路f座 206878
2000,'522301199903270448 ,李平,1999-03-27,女,贵州省冬梅县南湖赵街n座 939730
2001,'445103199503285493 ,李利,1995-03-28,男,福建省马鞍山市江北李路g座 668594
2002,'411425200403255888 ,皮瑜,2004-03-25,女,西藏自治区宜都市东城孟路C座 851949
2003,'341002200503255485 ,韩芳,2005-03-25,女,河北省勇县兴山沈阳街i座 767760
2004,'330101199003296126 ,侯兵,1990-03-29,女,安徽省莉市门头沟周街U座 135647
2005,'130423199903275723 ,高涛,1999-03-27,女,新疆维吾尔自治区玉梅市清浦马街Z座 512793
2006,'42900420050325946X ,黄秀珍,2005-03-25,女,香港特别行政区飞市丰都汕尾街J座 793654
2007,'510301199603270194 ,龚敏,1996-03-27,男,北京市太原县上街萧街I座 153170
2008,'52052619930328720X ,黄涛,1993-03-28,女,浙江省邯郸县长寿贺路G座 638711
2009,'371622200403256601 ,游淑珍,2004-03-25,女,上海市辽阳市龙潭南昌路O座 274987
2010,'510603199803271385 ,田伟,1998-03-27,女,新疆维吾尔自治区哈尔滨市江北龚街E座 743376
2011,'430481199703273111 ,郑坤,1997-03-27,男,青海省阜新市牧野荆门街D座 589498
2012,'360501200303263361 ,卢梅,2003-03-26,女,广西壮族自治区磊市徐汇裴街u座 846145
2013,'511132199803276464 ,何红,1998-03-27,女,广东省桂荣县徐汇许路i座 993022
2014,'469023200403254203 ,杨洋,2004-03-25,女,云南省莹市萧山祁街Q座 878476
2015,'42138120080324945X ,王秀兰,2008-03-24,男,四川省柳州市永川刘街J座 505072
2016,'330801199903270632 ,夏倩,1999-03-27,男,云南省帅市魏都重庆街l座 845846
2017,'820000199503286711 ,路秀云,1995-03-28,男,广西壮族自治区佳市西峰向路h座 528894
2018,'53332520020326170X ,苏丹丹,2002-03-26,女,河南省兴安盟县翔安澳门路N座 636841
2019,'445200199503281966 ,周洋,1995-03-28,女,北京市建华县西夏龚路t座 370797
2020,'230522200303268085 ,李芳,2003-03-26,女,台湾省巢湖县城北苏路H座 942119
2021,'610829199603279954 ,王瑜,1996-03-27,男,重庆市海门市涪城郭路I座 884856
2022,'540126199103292743 ,潘丽娟,1991-03-29,女,江西省红霞市山亭王路X座 217229
2023,'532503200303261450 ,徐成,2003-03-26,男,山东省太原市萧山澳门路j座 690394
2024,'231121199403288419 ,秦健,1994-03-28,男,重庆市杨市房山李路l座 279039
2025,'654224200503254903 ,龙玉华,2005-03-25,女,湖南省巢湖市和平周街N座 280703
2026,'33050320050325204X ,汪丹丹,2005-03-25,女,江苏省柳州市新城杭州街e座 868903
2027,'210804199803272595 ,朱涛,1998-03-27,男,天津市海口县白云黄街q座 830697
2028,'511802200603257600 ,苏冬梅,2006-03-25,女,上海市上海市淄川韩路X座 944303
2029,'410422200503253978 ,卢峰,2005-03-25,男,黑龙江省岩县东城宋街r座 675499
2030,'410506200703255252 ,庄欣,2007-03-25,男,广东省帅市南湖通辽街v座 170051
2031,'341101199503285135 ,郑畅,1995-03-28,男,重庆市伟市和平张街O座 148381
2032,'520628199003299645 ,欧俊,1990-03-29,女,湖南省莉市朝阳长沙路w座 176121
2033,'640121199803277087 ,赵欣,1998-03-27,女,山东省淮安市璧山李路R座 877576
2034,'610826199603276025 ,刘浩,1996-03-27,女,天津市佛山市普陀陈街D座 877634
2035,'421024199103290815 ,何波,1991-03-29,男,安徽省秀英县闵行淮安街d座 690043
2036,'445202199203284877 ,赵倩,1992-03-28,男,海南省娟县长寿张路X座 345309
2037,'530325200803243174 ,钱军,2008-03-24,男,吉林省马鞍山市涪城林街m座 108100
2038,'450800200403252346 ,范英,2004-03-25,女,新疆维吾尔自治区宁市海陵哈尔滨路U座 632166
2039,'371721199503288487 ,李瑜,1995-03-28,女,重庆市香港县黄浦巢湖路S座 783842
2040,'652325199603274009 ,金荣,1996-03-27,女,云南省倩县花溪阎街b座 166941
2041,'513430199503280336 ,刘慧,1995-03-28,男,甘肃省建市普陀宜都路K座 877271
2042,'340000200303260729 ,罗秀云,2003-03-26,女,西藏自治区沈阳市长寿拉萨路T座 488863
2043,'460000200303263572 ,王东,2003-03-26,男,宁夏回族自治区莉县门头沟贾路g座 823577
2044,'652900200703255228 ,阮健,2007-03-25,女,甘肃省宜都市秀英武汉街T座 904875
2045,'320402200303264931 ,张宇,2003-03-26,男,天津市合肥市南溪佛山路W座 707428
2046,'430703200703257253 ,段红霞,2007-03-25,男,河南省乌鲁木齐市清河昆明路l座 567424
2047,'421224199803270453 ,刘燕,1998-03-27,男,澳门特别行政区台北县锡山孙路m座 298221
2048,'441201200503250500 ,朱霞,2005-03-25,女,香港特别行政区畅县涪城白路J座 429500
2049,'131022200703250925 ,李超,2007-03-25,女,北京市秀兰市吉区东莞路j座 160842
2050,'530102200503250262 ,侯红,2005-03-25,女,湖南省梧州县南长太原街K座 662341
2051,'440704199303283535 ,谈秀云,1993-03-28,男,北京市凤兰市沈河宁德路A座 700498
2052,'530628200003266509 ,陈兵,2000-03-26,女,湖南省彬县海陵赵路U座 812397
2053,'44528120030326505X ,王佳,2003-03-26,男,内蒙古自治区南京市门头沟拉萨街V座 553663
2054,'623021200003261799 ,庞颖,2000-03-26,男,辽宁省东莞市长寿石家庄路T座 512401
2055,'410106199503286321 ,邓丽丽,1995-03-28,女,浙江省丹市牧野重庆街G座 454722
2056,'654321200503258118 ,曾玉,2005-03-25,男,香港特别行政区坤市海陵淮安路B座 484580
2057,'330523199103296406 ,陈强,1991-03-29,女,广西壮族自治区文县沙湾贾街d座 502258
2058,'321001199203288511 ,傅佳,1992-03-28,男,台湾省东县门头沟章街o座 694964
2059,'441801199303287429 ,余俊,1993-03-28,女,北京市秀芳市西夏安路U座 641581
2060,'632622199903274581 ,张明,1999-03-27,女,贵州省英市翔安李路Y座 765048
2061,'130903200803249496 ,阎红,2008-03-24,男,青海省天津市西峰张街a座 187602
2062,'210202199303288552 ,李伟,1993-03-28,男,西藏自治区建平市南溪徐街g座 938786
2063,'210423200503256430 ,王梅,2005-03-25,男,江西省娜县徐汇潮州街U座 832232
2064,'640106200203265738 ,沈磊,2002-03-26,男,山东省太原市南湖李路L座 641611
2065,'620923199303287134 ,石伟,1993-03-28,男,北京市昆明市长寿哈尔滨街p座 880916
2066,'230781200003260250 ,袁芳,2000-03-26,男,山东省南昌市沈北新鲍街T座 793055
2067,'23062120050325754X ,姚杨,2005-03-25,女,西藏自治区宁德市朝阳何路E座 246394
2068,'610628199303280737 ,傅秀珍,1993-03-28,男,海南省杰市双滦宁德街c座 893688
2069,'450224200103265717 ,李凯,2001-03-26,男,山西省福州县西峰廖街l座 866920
2070,'210105200103268126 ,吴霞,2001-03-26,女,江西省建军市浔阳惠州路K座 934052
2071,'430811199503281558 ,郭莹,1995-03-28,男,吉林省桂芳市丰都李街P座 665801
2072,'420114200303268732 ,梁佳,2003-03-26,男,浙江省兰州县翔安惠州街T座 589644
2073,'340301200403253318 ,张平,2004-03-25,男,甘肃省红市西夏邯郸街t座 168528
2074,'522626199303287899 ,黄桂英,1993-03-28,男,湖北省通辽市友好济南街L座 310699
2075,'350723199403285893 ,穆亮,1994-03-28,男,吉林省帆市高港成都街d座 843840
2076,'520624200003265357 ,刘健,2000-03-26,男,云南省哈尔滨市南溪兰州街e座 877357
2077,'622901200303263756 ,杨霞,2003-03-26,男,海南省华市丰都黄路e座 625216
2078,'230801199803274683 ,苏英,1998-03-27,女,福建省武汉县城北天津路n座 167899
2079,'630202200803248630 ,刘彬,2008-03-24,男,甘肃省艳县东丽陈街Q座 487097
2080,'420502200103264717 ,谢明,2001-03-26,男,山东省涛县高坪潘街o座 287384
2081,'530524199703273287 ,张欣,1997-03-27,女,山东省拉萨县龙潭林街V座 431790
2082,'530721199103296962 ,赵欢,1991-03-29,女,天津市阳市沈北新银川路v座 949972
2083,'370502200503253748 ,杜建,2005-03-25,女,上海市利县永川永安街H座 614898
2084,'510503200703256516 ,张宁,2007-03-25,男,吉林省文市秀英台北路D座 574224
2085,'140729199203283892 ,刘淑华,1992-03-28,男,上海市红霞市房山济南街A座 441674
2086,'520112199903276889 ,李秀华,1999-03-27,女,内蒙古自治区志强市滨城合肥街D座 757555
2087,'45032120050325823X ,李鑫,2005-03-25,男,澳门特别行政区海门市闵行潮州路t座 658704
2088,'350402199503282384 ,朱英,1995-03-28,女,广东省林县黄浦柳州路g座 880925
2089,'530702200303263942 ,李瑜,2003-03-26,女,新疆维吾尔自治区婷县海港赵路X座 317566
2090,'340523199303282561 ,黄佳,1993-03-28,女,浙江省丹县南湖邯郸路i座 510498
2091,'130324199303283923 ,赵芳,1993-03-28,女,四川省成都市普陀淮安街e座 548728
2092,'410103200803243936 ,李建,2008-03-24,男,甘肃省桂芝市门头沟西宁路b座 403219
2093,'632801199803270654 ,李建平,1998-03-27,男,北京市杭州县大东庞路w座 463790
2094,'341503200303260320 ,赖霞,2003-03-26,女,北京市龙市西夏陈街n座 975601
2095,'350783199503281802 ,余伟,1995-03-28,女,福建省济南市秀英陈街M座 937128
2096,'320117199103291006 ,高桂芝,1991-03-29,女,陕西省沈阳市高明李路K座 743350
2097,'14092520040325902X ,黄峰,2004-03-25,女,青海省桂香县兴山戚街K座 229318
2098,'370983199503286202 ,孙瑞,1995-03-28,女,四川省齐齐哈尔市沈北新范街p座 329888
2099,'522327200403251266 ,赵桂花,2004-03-25,女,浙江省涛县静安广州街Q座 279144
2100,'140821199203286342 ,赵燕,1992-03-28,女,黑龙江省汕尾县长寿宁德街b座 254374
2101,'341701199003292403 ,裴凯,1990-03-29,女,陕西省宜都市永川柳州街N座 135961
2102,'420503200703251377 ,梁婷,2007-03-25,男,海南省辉市高明六盘水路V座 584309
2103,'230822199003299729 ,杨秀英,1990-03-29,女,上海市兴安盟县永川潜江街Y座 973397
2104,'431027199903273379 ,余红霞,1999-03-27,男,辽宁省杭州市清浦六安街W座 308409
2105,'320405200803244549 ,任旭,2008-03-24,女,浙江省帆县滨城周路j座 666934
2106,'130621200203265640 ,谷欣,2002-03-26,女,云南省芳市西夏南昌街Z座 640940
2107,'220500199903275187 ,应帅,1999-03-27,女,天津市红市淄川北京路A座 461604
2108,'542127199203280633 ,覃斌,1992-03-28,男,江西省云县合川张街X座 626154
2109,'370983200103267948 ,孙秀云,2001-03-26,女,新疆维吾尔自治区辽阳县闵行佛山路H座 567658
2110,'340521200403256048 ,罗淑英,2004-03-25,女,黑龙江省娜县高港海口街Q座 128120
2111,'32092419900329117X ,罗玉梅,1990-03-29,男,广西壮族自治区银川市丰都乌鲁木齐街u座 677001
2112,'510800200703259247 ,刘慧,2007-03-25,女,吉林省海口市西峰合山街l座 298249
2113,'441882200203262789 ,刘丽,2002-03-26,女,吉林省杭州县涪城潜江街r座 160651
2114,'530328200103265427 ,庞雪,2001-03-26,女,四川省海门县六枝特梧州街s座 645015
2115,'532501199503280244 ,张凯,1995-03-28,女,天津市天津市六枝特贵阳街W座 532045
2116,'230109199803278070 ,黄琳,1998-03-27,男,湖北省梧州县怀柔马街X座 291908
2117,'511825200303262453 ,袁斌,2003-03-26,男,河南省志强县六枝特成都路r座 478566
2118,'370322199503280518 ,高坤,1995-03-28,男,天津市通辽市闵行李路c座 382952
2119,'632323200303263040 ,李荣,2003-03-26,女,河南省玉华市上街薛街H座 227096
2120,'430621199103290385 ,陈娟,1991-03-29,女,宁夏回族自治区柳县沙湾梧州街E座 422865
2121,'371200200403259263 ,余荣,2004-03-25,女,吉林省艳市永川陶路G座 536100
2122,'542428199103294328 ,余亮,1991-03-29,女,云南省强市上街王街l座 443191
2123,'510701200303260899 ,盛欢,2003-03-26,男,湖北省英市涪城南京路d座 955633
2124,'620721199703278487 ,郑慧,1997-03-27,女,安徽省畅县城东长春路e座 963041
2125,'441825199803271037 ,薛琳,1998-03-27,男,四川省鑫市萧山宜都街b座 102588
2126,'230702199703273924 ,罗红梅,1997-03-27,女,陕西省娟县蓟州徐街P座 271480
2127,'130683199003298927 ,谭利,1990-03-29,女,黑龙江省艳县蓟州鞠路D座 982232
2128,'430721199503283681 ,方淑珍,1995-03-28,女,河南省建华市龙潭拉萨路c座 464528
2129,'331000200503251332 ,董桂荣,2005-03-25,男,辽宁省长沙市崇文伍路A座 286112
2130,'61033019960327860X ,王兰英,1996-03-27,女,澳门特别行政区呼和浩特市怀柔蒋路H座 295590
2131,'340223200803248553 ,孟颖,2008-03-24,男,香港特别行政区关岭市合川嘉禾路L座 176917
2132,'410224200803245429 ,陆丽丽,2008-03-24,女,河北省文市南长向街E座 481028
2133,'441301200603250730 ,黄军,2006-03-25,男,宁夏回族自治区佳市丰都刘路L座 220361
2134,'14092519950328848X ,周莉,1995-03-28,女,宁夏回族自治区秀芳市门头沟沈阳街i座 948281
2135,'141031200603252091 ,岳冬梅,2006-03-25,男,宁夏回族自治区海燕市和平北镇街H座 711321
2136,'511702200203265630 ,张桂香,2002-03-26,男,湖南省桂芝县滨城东莞路n座 691911
2137,'450503200203261486 ,帅玉英,2002-03-26,女,台湾省兴安盟县翔安毕路e座 266726
2138,'231083200203263304 ,李楠,2002-03-26,女,陕西省大冶市清河潮州街P座 677967
2139,'632821200803242830 ,沈帆,2008-03-24,男,上海市大冶县魏都北镇路m座 533347
2140,'620401200703254155 ,张秀华,2007-03-25,男,上海市拉萨市梁平梧州街f座 952619
2141,'410183199803273402 ,张静,1998-03-27,女,河南省静市长寿马鞍山街O座 572533
2142,'532530200703255155 ,阎丽丽,2007-03-25,男,安徽省合肥县大兴嘉禾路K座 748147
2143,'451400199903275951 ,杨倩,1999-03-27,男,吉林省兴城县高港巢湖街h座 405041
2144,'32080219940328002X ,郭红梅,1994-03-28,女,重庆市建国县滨城李街l座 842253
2145,'420102199403285555 ,鲁颖,1994-03-28,男,湖北省旭市长寿南京路k座 364014
2146,'350125199403287960 ,马勇,1994-03-28,女,四川省健县东城杨街X座 582894
2147,'371602199703274261 ,林文,1997-03-27,女,山西省宁德县黄浦台北街N座 703331
2148,'420528199203287324 ,彭建,1992-03-28,女,福建省呼和浩特县静安高街n座 401725
2149,'320204200703250178 ,冯丽,2007-03-25,男,广西壮族自治区凤兰市永川罗路n座 413349
2150,'371201200203264451 ,凌飞,2002-03-26,男,宁夏回族自治区长春市牧野沈阳路M座 257319
2151,'420800199303283419 ,梅莹,1993-03-28,男,山东省亮县魏都南京街w座 191272
2152,'130433199703279239 ,贺磊,1997-03-27,男,广西壮族自治区成都县高坪哈尔滨路s座 796148
2153,'522624200103268514 ,李勇,2001-03-26,男,四川省秀兰县华龙韩街I座 120107
2154,'140424200003264993 ,黄龙,2000-03-26,男,台湾省春梅市高明合肥街t座 543907
2155,'130223199103298977 ,李桂珍,1991-03-29,男,河南省杭州市城东海口街G座 839586
2156,'610802200103269181 ,田玉英,2001-03-26,女,广西壮族自治区南昌县锡山武汉路l座 501512
2157,'350500200103269672 ,薛桂芳,2001-03-26,男,上海市昆明市梁平福州街F座 531010
2158,'310230199303287620 ,时慧,1993-03-28,女,青海省邯郸市萧山淮安街u座 509174
2159,'652826200703254557 ,辛颖,2007-03-25,男,浙江省莹市永川饶路p座 943891
2160,'640105199503287953 ,王勇,1995-03-28,男,宁夏回族自治区俊县海港张家港街m座 888436
2161,'341525199203284774 ,孟强,1992-03-28,男,江西省郑州市丰都杨街L座 370979
2162,'150123200403256182 ,陈丽丽,2004-03-25,女,台湾省哈尔滨市永川汪街H座 251538
2163,'441881200403258788 ,李琴,2004-03-25,女,山西省凤英市清河合肥街F座 808922
2164,'310120200303266456 ,李红,2003-03-26,男,湖北省秀梅县萧山陈路J座 989766
2165,'450108200303265636 ,石桂珍,2003-03-26,男,重庆市燕县沙市涂街b座 527840
2166,'632823200403254667 ,廖洁,2004-03-25,女,吉林省丽华县徐汇惠州街R座 153834
2167,'620101200803249605 ,熊芳,2008-03-24,女,黑龙江省玲市龙潭齐齐哈尔街o座 517702
2168,'510106200603250413 ,曹欢,2006-03-25,男,陕西省建军县清城唐路t座 330179
2169,'469025200803249430 ,罗伟,2008-03-24,男,福建省桂香市房山兴安盟路n座 260106
2170,'441300200203268521 ,王玉,2002-03-26,女,云南省石家庄市永川陈路k座 777316
2171,'450101200803243172 ,蔡丽丽,2008-03-24,男,海南省西宁县南长南京路e座 125720
2172,'42050620030326096X ,苏桂花,2003-03-26,女,辽宁省英县闵行林路C座 273549
2173,'321012200003269468 ,陈波,2000-03-26,女,上海市哈尔滨市长寿张路p座 430582
2174,'150428199903270071 ,张坤,1999-03-27,男,甘肃省杨县大东香港路Z座 263850
2175,'610729199303287180 ,范文,1993-03-28,女,台湾省鹏市江北彭街J座 549706
2176,'540235199003296159 ,张红霞,1990-03-29,男,海南省艳县锡山王路E座 131034
2177,'511826199803279412 ,苏军,1998-03-27,男,河北省天津市东丽王路O座 580511
